age,total,men,women
    0,2.645411,3.005130,2.264393
    1,0.255554,0.291087,0.217751
    2,0.127973,0.112889,0.144009
    3,0.070189,0.070338,0.070030
    4,0.094807,0.100321,0.088940
    5,0.075568,0.097702,0.052005
    6,0.078475,0.076005,0.081110
    7,0.049727,0.084681,0.012349
    8,0.067020,0.064912,0.069269
    9,0.078432,0.081826,0.074812
    10,0.065169,0.079062,0.050406
    11,0.072348,0.088334,0.055385
    12,0.075454,0.081496,0.069054
    13,0.073207,0.083811,0.062000
    14,0.083638,0.089959,0.076959
    15,0.132490,0.132912,0.132041
    16,0.160864,0.216751,0.101427
    17,0.130632,0.155514,0.104127
    18,0.175489,0.237251,0.109689
    19,0.255476,0.345402,0.160715
    20,0.230519,0.314682,0.141940
    21,0.191924,0.254010,0.126599
    22,0.257256,0.356131,0.154083
    23,0.257712,0.385639,0.125567
    24,0.229680,0.308822,0.148262
    25,0.225101,0.290242,0.158595
    26,0.292691,0.433289,0.150317
    27,0.297332,0.431707,0.162025
    28,0.269315,0.384905,0.153826
    29,0.321974,0.398236,0.246240
    30,0.390205,0.547455,0.234037
    31,0.360431,0.503826,0.217775
    32,0.335942,0.470086,0.202423
    33,0.403478,0.572975,0.234096
    34,0.430130,0.573773,0.285617
    35,0.447633,0.555620,0.338391
    36,0.494548,0.667205,0.319313
    37,0.523424,0.627801,0.416649
    38,0.537617,0.670459,0.400435
    39,0.645549,0.790409,0.495572
    40,0.749279,0.943276,0.548207
    41,0.832788,1.032501,0.625674
    42,0.813972,0.996823,0.624596
    43,0.952947,1.240647,0.654748
    44,1.097631,1.398128,0.787105
    45,1.269443,1.600490,0.928507
    46,1.350882,1.673056,1.020697
    47,1.584758,2.030188,1.130446
    48,1.937600,2.523276,1.343521
    49,1.967407,2.635968,1.291930
    50,2.310141,3.056591,1.560276
    51,2.613513,3.441616,1.787307
    52,2.956231,3.935603,1.980862
    53,3.223453,4.294435,2.161934
    54,3.461496,4.758375,2.186210
    55,3.695036,5.007676,2.409552
    56,4.197006,5.722426,2.707637
    57,4.566053,6.255469,2.924404
    58,4.891619,6.777787,3.069989
    59,5.267806,7.448390,3.173617
    60,5.848993,8.264176,3.541654
    61,6.377628,9.080819,3.815664
    62,6.565592,9.342650,3.947734
    63,7.457720,10.807406,4.292845
    64,8.034839,11.423355,4.854656
    65,8.709158,12.549368,5.144159
    66,9.249029,13.441584,5.407621
    67,9.726498,13.834585,6.000553
    68,11.322402,16.643537,6.522345
    69,11.436549,16.447861,6.976776
    70,12.721908,18.351106,7.779544
    71,14.259152,20.407980,8.906414
    72,15.607766,22.296164,9.841779
    73,17.352953,24.964705,10.858311
    74,18.484414,25.944837,12.191088
    75,21.242043,29.749859,14.217429
    76,24.171189,34.202499,16.147298
    77,26.649583,36.861845,18.748734
    78,29.557531,40.644453,21.130284
    79,34.247124,46.712609,25.089863
    80,37.603930,51.037709,27.987305
    81,42.827998,56.988948,32.881312
    82,49.652888,65.493176,38.891585
    83,56.664832,72.123185,46.503830
    84,64.703818,82.139070,53.570416
    85,75.826669,95.573278,63.814663
    86,84.308909,104.835870,72.478767
    87,96.623031,118.653993,84.488747
    88,108.611971,131.779570,96.475754
    89,125.948976,152.403974,112.805302
    90,141.313522,168.960178,128.341047
    91,160.517091,188.879063,147.971345
    92,180.002458,207.600446,168.353240
    93,196.878747,225.344531,185.510332
    94,223.307213,261.357884,209.072131
    95,238.528380,256.888146,232.069652
    96,260.586573,276.717767,255.265293
    97,265.921018,281.464284,261.120551
    98,296.191934,316.976718,290.195656
    99,305.318061,309.125969,304.244330
    100,416.016167,438.853315,411.063380
