Pi,ES,K,cppi_ret,montses_ret,diff,pi_b
10,140.325025904582,18.1111111111111,1.84634934055759,1.97735981082242,0.131010470264821,0.151611328125
20,88.7543988004208,88.4137931034483,2.13876159405568,2.79199547114692,0.653233877091239,0.34075927734375
30,58.5000781227168,96.4545454545455,2.66438755190063,2.80151768295429,0.137130131053659,0.319928050041199
40,20.8539588784877,165.75,3.13074895256267,3.59504139642224,0.464292443859568,0.49560546875
50,-28.1125548363087,232,3.46267474961675,4.17081461372554,0.708139864108789,0.640619277954102
60,-73.1862783378608,294.047619047619,3.83191053694755,4.67123141504655,0.839320878099,1.0625
70,-118.588254565239,381.233333333333,4.24602545785331,5.40400343760065,1.15797797974735,1.63090515136719
80,-153.693972299957,424.034482758621,4.77966058930986,5.8548632129257,1.07520262361584,2
90,-223.589161659241,524.096153846154,4.88497606880628,6.77317314200824,1.88819707320196,2
100,-261.1280241745,618.387596899225,5.16803246058185,6.79436113841552,1.62632867783367,2
